filename, language, C#, XML, JSON, aspnetcorerazor, PowerShell, comment, blank, total
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ResetPasswordConfirmation.cshtml, aspnetcorerazor, 0, 0, 0, 7, 0, 0, 2, 9
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ResetPasswordViewModel.cs, C#, 23, 0, 0, 0, 0, 0, 5, 28
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\SendCode.cshtml, aspnetcorerazor, 0, 0, 0, 18, 0, 0, 4, 22
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\SendCodeViewModel.cs, C#, 15, 0, 0, 0, 0, 0, 5, 20
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\UserInfo.cs, C#, 15, 0, 0, 0, 0, 0, 2, 17
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\VerifyCode.cshtml, aspnetcorerazor, 0, 0, 0, 35, 0, 0, 4, 39
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\VerifyCodeViewModel.cs, C#, 20, 0, 0, 0, 0, 0, 6, 26
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\govmeetingClaim.cs, C#, 15, 0, 0, 0, 0, 0, 2, 17
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Addtags\AddtagsController.cs, C#, 36, 0, 0, 0, 0, 3, 5, 44
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\AdminController.cs, C#, 162, 0, 0, 0, 0, 29, 31, 222
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\EditClaims.cshtml, aspnetcorerazor, 0, 0, 0, 4, 0, 0, 4, 8
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\EditUsers.cshtml, aspnetcorerazor, 0, 0, 0, 60, 0, 0, 17, 77
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\Index.cshtml, aspnetcorerazor, 0, 0, 0, 13, 0, 0, 5, 18
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\AspAuth\AspAuthController.cs, C#, 36, 0, 0, 0, 0, 0, 9, 45
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\AspAuth\Index.cshtml, aspnetcorerazor, 0, 0, 0, 7, 0, 0, 6, 13
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\AspAuth\Privacy.cshtml, aspnetcorerazor, 0, 0, 0, 5, 0, 0, 2, 7
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Fixasr\FixasrController.cs, C#, 40, 0, 0, 0, 0, 3, 6, 49
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\GovBodies\GovBodyController.cs, C#, 27, 0, 0, 0, 0, 24, 10, 61
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Home\HomeController.cs, C#, 33, 0, 0, 0, 0, 3, 8, 44
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\AddPhoneNumber.cshtml, aspnetcorerazor, 0, 0, 0, 27, 0, 0, 4, 31
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\AddPhoneNumberViewModel.cs, C#, 15, 0, 0, 0, 0, 0, 2, 17
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ChangePassword.cshtml, aspnetcorerazor, 0, 0, 0, 40, 0, 0, 5, 45
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ChangePasswordViewModel.cs, C#, 24, 0, 0, 0, 0, 0, 4, 28
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ConfigureTwoFactorViewModel.cs, C#, 13, 0, 0, 0, 0, 0, 3, 16
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\FactorViewModel.cs, C#, 11, 0, 0, 0, 0, 0, 2, 13
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\Index.cshtml, aspnetcorerazor, 0, 0, 0, 65, 0, 0, 7, 72
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\IndexViewModel.cs, C#, 16, 0, 0, 0, 0, 0, 6, 22
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ManageController.cs, C#, 300, 0, 0, 0, 0, 39, 30, 369
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ManageLogins.cshtml, aspnetcorerazor, 0, 0, 0, 54, 0, 0, 4, 58
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ManageLoginsViewModel.cs, C#, 14, 0, 0, 0, 0, 4, 3, 21
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\RemoveLoginViewModel.cs, C#, 13, 0, 0, 0, 0, 0, 2, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\SetPassword.cshtml, aspnetcorerazor, 0, 0, 0, 36, 0, 0, 5, 41
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\SetPasswordViewModel.cs, C#, 20, 0, 0, 0, 0, 0, 3, 23
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\VerifyPhoneNumber.cshtml, aspnetcorerazor, 0, 0, 0, 28, 0, 0, 5, 33
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\VerifyPhoneNumberViewModel.cs, C#, 17, 0, 0, 0, 0, 0, 3, 20
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Meetings\MeetingController.cs, C#, 27, 0, 0, 0, 0, 24, 10, 61
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Shared\Error.cshtml, aspnetcorerazor, 0, 0, 0, 5, 0, 0, 2, 7
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Shared\TypedOptions.cs, C#, 14, 0, 0, 0, 0, 0, 1, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Shared\_DevNotePartial.cshtml, aspnetcorerazor, 0, 0, 0, 12, 0, 3, 2, 17
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Shared\_Layout.cshtml, aspnetcorerazor, 0, 0, 0, 63, 0, 4, 12, 79
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Shared\_LoginPartial.cshtml, aspnetcorerazor, 0, 0, 0, 20, 0, 7, 7, 34
